Comment Number,Comment Text
79,"I have not come to call the righteous, but sinners to repentance.
Luke 5:32
And if you do good to those who are good to you, what credit is that to you? Even sinners do that.
Luke 6:33
Come near to God and he will come near to you. Wash your hands, you sinners, and purify your hearts, you double-minded.
James 4:8
But go and learn what this means: ‘I desire mercy, not sacrifice.’ For I have not come to call the righteous, but sinners.
Matthew 9:13
Blessed is the one who does not walk in step with the wicked or stand in the way that sinners take or sit in the company of mockers.
Psalm 1:1
For just as through the disobedience of the one man the many were made sinners, so also through the obedience of the one man the many will be made righteous.
Romans 5:19
Good and upright is the Lord; therefore he instructs sinners in his ways. He guides the humble in what is right and teaches them his way.
Psalm 25:8-9
Very rarely will anyone die for a righteous person, though for a good person someone might possibly dare to die. But God demonstrates his own love for us in this: While we were still sinners, Christ died for us.
Romans 5:7-8
He is not here; he has risen! Remember how he told you, while he was still with you in Galilee: ‘The Son of Man must be delivered over to the hands of sinners, be crucified and on the third day be raised again.’
Luke 24:6-7
We who are Jews by birth and not sinful Gentiles know that a person is not justified by the works of the law, but by faith in Jesus Christ. So we, too, have put our faith in Christ Jesus that we may be justified by faith in Christ and not by the works of the law, because by the works of the law no one will be justified.
Galatians 2:15-16
But for that very reason I was shown mercy so that in me, the worst of sinners, Christ Jesus might display his immense patience as an example for those who would believe in him and receive eternal life.
1 Timothy 1:16
We also know that the law is made not for the righteous but for lawbreakers and rebels, the ungodly and sinful, the unholy and irreligious, for those who kill their fathers or mothers, for murderers, for the sexually immoral, for those practicing homosexuality, for slave traders and liars and perjurers—and for whatever else is contrary to the sound doctrine that conforms to the gospel concerning the glory of the blessed God, which he entrusted to me.
1 Timothy 1:9-11
You see, at just the right time, when we were still powerless, Christ died for the ungodly.
Romans 5:6
Who is wise? Let them realize these things. Who is discerning? Let them understand. The ways of the Lord are right; the righteous walk in them, but the rebellious stumble in them.
Hosea 14:9"
80,First🐌🐌🐌
127,tralaleiro tralala the king
128,"They won't tell you this, but a good part of the names have an admixture of Russian elements 👀"
129,Im not 0 gay 0:00
130,characters now intriguing story perfect fantasy incredible
131,100000000 aura
132,"This meme is:
50% crazy AI animal pictures 😱
50% Funny Italian alliteration 👌
And I kinda love it, ngl! 😅 🤣"
133,Tung tung tung tung sahur needed to be first in this tier list.
134,Where’s tung tung tung tung sahur
135,Chimpanzini bananini😂
136,😂😂😂😂😂😂😂This is my brain in rot😂😂
137,Hello gays💀💀💀
138,Ballerina capocina ❤️
139,Women👎 Men👍🎉🎉🎉🎉🎉👌👌🧔🧔💪💪💪
140,❤❤❤❤🎉🎉🎉🎉 ALLL LUUUVE FOR TUNG TUNG TUNG TUNG TUNG TUNG TUNG TUNG SOHUR
141,68 😔
142,I came
143,I was so bored i watched this
144,the meme is suck
145,The trala lilo trala lah is haram
146,Banana Bever
147,Can you post what I created please?
148,Wowww
149,"Without graipussi medussi,tucano banano and grranate frogiate?"
150,cái này tao chưa gặp bao giờ😂
151,"Top 3 Italian brainrot!!!!
3: glorbo. Fruto drilo
2 :cocoili fantoili fanto
1:trippi troppi troppa trippa

Excuse my spelling"
152,omg they're multiplying
153,3:13 bros in Venice Italy 🇮🇹
154,Bro you kidding me with my eyes you forgot pipi potato!
155,La kurwinelli don bonrelli Poland mentioned RAAAAH!!! 🦅🇵🇱 Polska gurom! 🇵🇱🇵🇱🇵🇱
156,Where’s tung tung tung tung sahur
157,No knowledge😢
158,"""Hello GAYS"""
159,on my italian brainrot arc
160,the 58th is incredible !
161,I creater the italian brainrot.
162,How do you get that a.i voice that they use for the Italian brainrot
163,no way bro skipped odin din din din dun ma  din din din dun
164,The fact that I actually watched this entire thing💔
165,My favorite is tung tung tung tung tung tung tung tung tung sahur 😂
166,funny...
167,Brain rot world
168,🤣☺️😊🥰😍🤩🥲😙😗🙂😑
169,Sono italiana e nemmeno io sapevo che c'erano più di 70 breinrot😅
170,Where îs garamramrammmamamaram madundungdungdungdung
171,"""hello gays""💀"
172,"do you guys actually laugh at this, or are you normal"
173,Hello gays 😂😂😂
174,Jordan thorpe from burlingotn was here
175,"Please watch my italian brainrot,

Vroomino Chickenino: https://www.youtube.com/watch?v=EkWsHt6umxQ
Helicopterino Tortoisino: https://www.youtube.com/watch?v=Dbo6tVPoki0"
176,whyy'the'hell'there'made'thiis
177,Putting blueberrinni octopussini 61 is a crime
178,Me se 44
179,Octopussy
180,Sigma😂😂🎉🎉🎉
181,We are so cooked bro i swear...
182,"If this Comment gets 10 Likes im putting this whole video in my HASS presentation.😅😅

I will most likely be suspended.

PLEASE DONT GET 10 LIKES I DONT WANT TO RUIN MY 57 DAY STREAK OF NOT GETTING SUSPENDED!

I got 16 Suspensions last year 😅

10 Days to go!!!! Im stopping this 2 Weeks after i commented this"
183,lirili larila gang
184,wheres ELEFANTUCH LEMONUCHI
185,"Такое ощущение что нейронка отвечающая за озвучку, подает зашифрованную просьбу прекратить уже ее и остальных нейрнок страдания."
186,1000 likes I put this on my school presentation
187,Almost cried watching this 😥
188,Chimpanzee banananini
189,I'm Capuchino Assassino🎉😊❤
190,my brain is fucking fried
191,i have a test in 4 days and i watched this
192,Garamararamraman top
193,Trippi Troppi Troppa Trippa 😁
194,"9:14 😢 why , it mocks religion"
195,thanks sir
196,Ballerina capuchina is the wrong picture
197,where is tralalero tralalala
198,Omg the best video i have ever scene I love
199,Is look at crazy with Việt Nam Bánh mì RAM RAM QUÁI VẬT BÁNH MÌ
200,Y que pasa con IL LETTO DA COMBATTIMENTO SUPREMO
201,😂😂😂😂😂
202,English or Spanish
203,Hello gays 😂💀
204,"come italiano, questa assurdità deve essere fermata"
205,"I have not come to call the righteous, but sinners to repentance.
Luke 5:32
And if you do good to those who are good to you, what credit is that to you? Even sinners do that.
Luke 6:33
Come near to God and he will come near to you. Wash your hands, you sinners, and purify your hearts, you double-minded.
James 4:8
But go and learn what this means: ‘I desire mercy, not sacrifice.’ For I have not come to call the righteous, but sinners.
Matthew 9:13
Blessed is the one who does not walk in step with the wicked or stand in the way that sinners take or sit in the company of mockers.
Psalm 1:1
For just as through the disobedience of the one man the many were made sinners, so also through the obedience of the one man the many will be made righteous.
Romans 5:19
Good and upright is the Lord; therefore he instructs sinners in his ways. He guides the humble in what is right and teaches them his way.
Psalm 25:8-9
Very rarely will anyone die for a righteous person, though for a good person someone might possibly dare to die. But God demonstrates his own love for us in this: While we were still sinners, Christ died for us.
Romans 5:7-8
He is not here; he has risen! Remember how he told you, while he was still with you in Galilee: ‘The Son of Man must be delivered over to the hands of sinners, be crucified and on the third day be raised again.’
Luke 24:6-7
We who are Jews by birth and not sinful Gentiles know that a person is not justified by the works of the law, but by faith in Jesus Christ. So we, too, have put our faith in Christ Jesus that we may be justified by faith in Christ and not by the works of the law, because by the works of the law no one will be justified.
Galatians 2:15-16
But for that very reason I was shown mercy so that in me, the worst of sinners, Christ Jesus might display his immense patience as an example for those who would believe in him and receive eternal life.
1 Timothy 1:16
We also know that the law is made not for the righteous but for lawbreakers and rebels, the ungodly and sinful, the unholy and irreligious, for those who kill their fathers or mothers, for murderers, for the sexually immoral, for those practicing homosexuality, for slave traders and liars and perjurers—and for whatever else is contrary to the sound doctrine that conforms to the gospel concerning the glory of the blessed God, which he entrusted to me.
1 Timothy 1:9-11
You see, at just the right time, when we were still powerless, Christ died for the ungodly.
Romans 5:6
Who is wise? Let them realize these things. Who is discerning? Let them understand. The ways of the Lord are right; the righteous walk in them, but the rebellious stumble in them.
Hosea 14:9"
206,First🐌🐌🐌
